# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,-2.90
# idle,pivot_deg,28.12
# idle,pivot_deg,6.06
# idle,pivot_deg,-14.50
# idle,pivot_deg,3.08
# idle,pivot_deg,5.36
# idle,pivot_deg,0.97
# idle,pivot_deg,-0.70
# idle,pivot_deg,0.26
# idle,pivot_deg,0.53
# idle,pivot_deg,0.35
# idle,pivot_deg,-1.67
# idle,pivot_deg,0.88
# idle,pivot_deg,-0.09
# idle,pivot_deg,0.18
# idle,pivot_deg,0.44
# idle,pivot_deg,0.00
# idle,pivot_deg,0.18
# idle,pivot_deg,0.53
# idle,pivot_deg,0.26
# idle,pivot_deg,-0.62
# idle,pivot_deg,-9.84
# idle,pivot_deg,2.20
# idle,pivot_deg,0.35
# idle,pivot_deg,-5.01
# idle,pivot_deg,-2.02
# idle,pivot_deg,0.53
# idle,pivot_deg,-1.67
# idle,pivot_deg,1.85
# idle,pivot_deg,-2.99
# idle,pivot_deg,-2.46
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
  STAGE 1: motor OFF. Displace ~20-30 deg and RELEASE.
# TEST,freeswing
# DURATION_S,20
# columns: t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
0.5170,-0.088,-11.19,275.362,0.0,0
0.5220,0.000,1.71,275.273,0.0,0
0.5270,-0.088,-8.53,275.539,0.0,0
0.5320,0.000,5.50,275.451,0.0,0
0.5370,-0.088,-8.49,275.539,0.0,0
0.5430,0.000,6.50,275.894,0.0,0
0.5480,-0.088,-7.10,275.539,0.0,0
0.5530,0.000,4.74,275.805,0.0,0
0.5580,0.000,5.24,275.539,0.0,0
0.5630,0.000,8.51,275.362,0.0,0
0.5680,-0.088,-9.09,275.539,0.0,0
0.5730,-0.088,-4.03,275.628,0.0,0
0.5780,0.000,6.53,275.451,0.0,0
0.5830,-0.088,-9.97,275.539,0.0,0
0.5880,-0.088,-8.28,275.539,0.0,0
0.5930,0.000,4.22,275.628,0.0,0
0.5980,-0.088,-8.35,275.539,0.0,0
0.6030,0.000,4.59,275.539,0.0,0
0.6080,-0.088,-9.58,275.451,0.0,0
0.6130,0.000,3.64,275.451,0.0,0
0.6180,0.000,3.00,275.539,0.0,0
0.6230,0.000,5.60,275.451,0.0,0
0.6280,-0.088,-5.42,275.451,0.0,0
0.6330,-0.088,-7.84,275.362,0.0,0
0.6380,0.000,3.19,275.362,0.0,0
0.6430,0.000,3.33,275.362,0.0,0
0.6480,-0.088,-11.38,275.894,0.0,0
0.6530,0.000,3.53,275.273,0.0,0
0.6580,0.000,3.49,275.362,0.0,0
0.6630,0.000,2.95,275.362,0.0,0
0.6680,0.000,1.31,275.451,0.0,0
0.6730,0.000,0.58,275.539,0.0,0
0.6780,0.000,2.24,275.451,0.0,0
0.6830,0.000,1.00,275.539,0.0,0
0.6880,0.000,2.37,275.716,0.0,0
0.6930,0.000,2.70,275.451,0.0,0
0.6980,-0.088,-11.65,275.539,0.0,0
0.7030,0.000,2.91,275.362,0.0,0
0.7080,0.000,7.48,275.185,0.0,0
0.7130,-0.088,-4.58,275.451,0.0,0
0.7180,-0.088,-8.21,275.805,0.0,0
0.7230,-0.088,-4.29,274.919,0.0,0
0.7280,0.000,6.40,275.539,0.0,0
0.7330,-0.088,-3.83,275.716,0.0,0
0.7380,0.000,4.97,275.539,0.0,0
0.7430,0.000,5.25,275.451,0.0,0
0.7480,0.000,2.33,275.982,0.0,0
0.7530,0.000,2.43,275.628,0.0,0
0.7580,0.000,2.31,275.362,0.0,0
0.7630,0.000,1.03,275.362,0.0,0
0.7680,-0.088,-7.31,275.451,0.0,0
0.7730,0.000,6.46,275.539,0.0,0
0.7780,0.000,2.87,275.362,0.0,0
0.7830,0.000,1.27,275.185,0.0,0
0.7880,0.000,0.56,275.273,0.0,0
0.7930,-0.088,-10.68,275.451,0.0,0
0.7980,0.000,3.16,275.362,0.0,0
0.8030,0.000,1.40,275.628,0.0,0
0.8090,0.000,4.19,275.362,0.0,0
0.8140,-0.088,-7.11,275.362,0.0,0
0.8190,-0.088,-6.18,275.451,0.0,0
0.8240,0.000,3.93,275.362,0.0,0
0.8290,0.000,2.97,275.273,0.0,0
0.8340,0.000,1.32,275.451,0.0,0
0.8390,0.000,0.59,275.451,0.0,0
0.8440,0.000,3.83,275.451,0.0,0
0.8490,-0.088,-7.58,275.539,0.0,0
0.8540,0.000,3.31,275.451,0.0,0
0.8590,0.000,3.37,275.362,0.0,0
0.8640,0.000,5.75,275.362,0.0,0
0.8690,0.000,5.59,275.805,0.0,0
0.8740,-0.088,-7.22,275.539,0.0,0
0.8790,0.000,5.38,275.362,0.0,0
0.8840,-0.088,-8.55,275.539,0.0,0
0.8890,-0.088,-8.58,275.273,0.0,0
0.8940,-0.088,-8.76,275.362,0.0,0
0.8990,0.000,2.79,275.273,0.0,0
0.9040,-0.088,-11.41,275.362,0.0,0
0.9090,0.000,5.87,275.628,0.0,0
0.9140,0.000,2.61,275.362,0.0,0
0.9190,0.000,2.39,275.539,0.0,0
0.9240,0.000,5.32,275.716,0.0,0
0.9290,0.000,6.62,275.451,0.0,0
0.9340,0.000,4.15,275.539,0.0,0
0.9390,0.000,5.40,275.451,0.0,0
0.9440,0.000,2.40,275.539,0.0,0
0.9490,-0.088,-9.96,275.362,0.0,0
0.9540,0.000,3.47,276.248,0.0,0
0.9590,0.000,1.54,274.830,0.0,0
0.9640,0.000,2.32,275.451,0.0,0
0.9690,0.000,1.03,275.185,0.0,0
0.9740,-0.088,-10.46,275.451,0.0,0
0.9790,0.000,4.65,275.451,0.0,0
0.9840,0.000,2.06,275.451,0.0,0
0.9890,-0.088,-11.93,275.451,0.0,0
0.9940,0.000,1.62,276.071,0.0,0
0.9990,-0.088,-10.21,275.716,0.0,0
1.0040,0.000,2.14,275.451,0.0,0
1.0090,0.000,2.18,275.716,0.0,0
1.0140,0.000,0.97,275.628,0.0,0
1.0190,-0.088,-7.46,275.539,0.0,0
1.0240,-0.088,-6.34,275.628,0.0,0
1.0290,0.000,3.86,275.362,0.0,0
1.0340,0.000,1.71,275.539,0.0,0
1.0390,0.000,0.89,275.451,0.0,0
1.0440,0.000,0.40,275.362,0.0,0
1.0490,0.000,0.18,275.539,0.0,0
1.0540,0.000,0.08,275.096,0.0,0
1.0590,0.000,1.66,275.185,0.0,0
1.0640,-0.088,-5.93,275.451,0.0,0
1.0690,-0.088,-6.90,275.451,0.0,0
1.0740,0.000,7.18,275.539,0.0,0
1.0800,-0.088,-5.11,275.451,0.0,0
1.0850,0.000,8.25,275.451,0.0,0
1.0900,0.000,6.69,275.539,0.0,0
1.0950,0.000,4.35,275.451,0.0,0
1.1000,0.000,1.93,275.539,0.0,0
1.1050,0.000,4.42,275.362,0.0,0
1.1100,0.000,6.93,275.362,0.0,0
1.1150,0.000,4.99,275.539,0.0,0
