# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-132.98
# idle,pivot_deg,-7.12
# idle,pivot_deg,36.30
# idle,pivot_deg,33.31
# idle,pivot_deg,35.77
# idle,pivot_deg,36.30
# idle,pivot_deg,36.04
# > o
# ok,pivot zeroed
# idle,pivot_deg,0.35
# idle,pivot_deg,1.58
# idle,pivot_deg,1.93
# idle,pivot_deg,1.32
# idle,pivot_deg,0.97
# > q 180

#BEGIN
# test,yquiet
# nominal_deg,180.0
# sample_hz,200
# action,do not touch the arm
t_s,pivot_deg,wheel_deg
1.0050,2.637,248.685
1.0100,2.549,248.508
1.0150,2.461,248.597
1.0200,2.461,248.597
1.0250,2.461,248.508
1.0300,2.461,248.597
1.0350,2.461,248.863
1.0400,2.461,248.419
1.0450,2.461,248.597
1.0500,2.461,248.951
1.0550,2.461,248.863
1.0600,2.461,248.597
1.0650,2.549,248.685
1.0700,2.549,248.597
1.0750,2.549,248.685
1.0800,2.549,249.040
1.0850,2.549,248.065
1.0900,2.549,248.597
1.0950,2.549,248.597
1.1000,2.549,248.242
1.1050,2.637,248.597
1.1100,2.725,248.685
1.1150,2.725,248.685
1.1200,2.725,248.508
1.1250,2.637,248.508
1.1300,2.725,248.685
1.1350,2.725,248.685
1.1400,2.725,248.508
1.1450,2.637,248.597
1.1500,2.549,248.951
1.1550,2.549,248.597
1.1600,2.461,248.508
1.1650,2.461,248.597
1.1700,2.549,248.597
1.1750,2.461,248.685
1.1800,2.461,248.508
1.1850,2.373,248.685
1.1900,2.373,248.685
1.1950,2.373,248.508
1.2000,2.285,248.685
1.2050,2.373,248.597
1.2100,2.285,248.685
1.2150,2.285,248.685
1.2200,2.285,248.597
1.2250,2.285,248.685
1.2300,2.285,249.040
1.2350,2.285,248.508
1.2400,2.285,248.863
1.2450,2.285,248.774
1.2500,2.285,248.331
1.2550,2.285,248.685
1.2600,2.285,248.597
1.2650,2.285,248.597
1.2700,2.285,248.685
1.2750,2.373,248.685
1.2800,2.285,248.951
1.2850,2.285,249.217
1.2900,2.285,249.217
1.2950,2.285,248.685
